Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Dynamo Doomstompers,Hellhound Cuffs,Guilewind Stone Talons,Fleshfused Circle,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,Chyrus's Crest of Hope,,147815072
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fleshfused Crushers,Signet of the False Accuser,Entwined Gorger Tendril,Overwhelming Power Crystal,Dreadfire Vessel,Blighted Margrave's Cloak,Ascended Gladius of Glory,Elysian Sentinel's Aegis,,156158832
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Chyrus's Crest of Hope,,242939413
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,164108514
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Pulsating Stoneheart,Cloak of Enveloping Manifestations,Gorestained Cleaver,Acidslough Bulwark,,158112757
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,Artisan Officer's Shirt,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Girdle,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Sinful Gladiator's Medallion,Pulsating Stoneheart,Sinful Gladiator's Shawl,Xandria's Kopis of Courage,Sinful Gladiator's Guard,Uldum Accord Tabard,181393909
Shadowghast Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,Gray Woolen Shirt,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Fleshfused Circle,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,,155141153
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Death God's Signet,Ritual Commander's Ring,Blood-Spattered Scale,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Engorged Worm Smasher,Sylvan Whiteshield,,117244225
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Arachnid Cipher Ring,Viscera of Coalesced Hatred,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,,120278986
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Blood-Spattered Scale,Overwhelming Power Crystal,Blighted Margrave's Cloak,Gorestained Cleaver,Duskwarder Shield,,115797994
Wing Commander's Helmet,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Hyperlight Band,Gluttonous Spike,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sacred Sparrer's Edge,Chyrus's Crest of Hope,,161155112
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Sinful Gladiator's Signet,Bargast's Leash,Stone Legion Heraldry,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,Renowned Guild Tabard,107016596
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Wargreaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Sinful Gladiator's Ring,Overwhelming Power Crystal,Sinful Gladiator's Emblem,Sinful Gladiator's Drape,Axe of the Deadgrove,Encrusted Canopic Lid,Tabard of the Argent Crusade,195387984
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Signet of the False Accuser,Hyperlight Band,Spare Meat Hook,Slimy Consumptive Organ,Crest of the Legionnaire General,Gorestained Cleaver,Encrusted Canopic Lid,,77877412
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Darkmoon Deck: Voracity,Cowled Batwing Cloak,Supercollider,Encrusted Canopic Lid,Orgrimmar Tabard,121408275
Wrathbark Greathelm,Noble's Birthstone Pendant,Epaulettes of Overwhelming Force,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Shadowghast Ring,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,,195420025
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Stonebark Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Hyperlight Band,Stone Legion Heraldry,Anima Field Emitter,Blighted Margrave's Cloak,Gorestained Cleaver,Builwark of the Stone Legion,,116650501
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fleshfused Crushers,Signet of the False Accuser,Hyperlight Band,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,,118699603
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Chyrus's Crest of Hope,,77743395
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Cautious Calculation,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Stone Legion Heraldry,Blighted Margrave's Cloak,Sophisticated Bonecracker,Builwark of the Stone Legion,,194739259
Shadowghast Helm,Muckformed Chain Choker,Sinful Gladiator's Plate Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Shawl of the Caretaker,Sophisticated Bonecracker,Northern Barrier,Baradin's Wardens Tabard,173299223
Oversized Centurion Helm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Arachnid Cipher Ring,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,156159367
Wrathbark Greathelm,Sinful Gladiator's Amulet,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Bloodoath Signet,Sinful Gladiator's Insignia of Alacrity,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Ascended,166507726
Sinful Gladiator's Plate Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Antiseptic-Soaked Dressing,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Signet,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,"Brumdysla, Hammer of Vrorsk",Barricade of the Endless Empire,,132378379
Oversized Centurion Helm,Sinful Gladiator's Pendant,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Sinful Gladiator's Plate Wristguards,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Sinful Gladiator's Guard,Tabard of the Lightbringer,55915862
Diadem of Imperious Desire,Trailspinner Pendant,Prankster's Pauldrons,,Breastplate of Cautious Calculation,Binding of Warped Desires,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Ring of Perpetual Conflict,Blood-Spattered Scale,Manabound Mirror,Grim-Veiled Cape,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the 7th Legion,160835993
Sinful Gladiator's Plate Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Shadowghast Sabatons,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Ritual Bone Band,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,Stormwind Tabard,153838832
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Red Swashbuckler's Shirt,Carapace of Imbibed Flame,Girdle of the Soulflayer,Shadowghast Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Overwhelming Power Crystal,Blighted Margrave's Cloak,Guarding Cudgel of the Goliath,,Stormwind Tabard,146092653
Wing Commander's Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Ring of Perpetual Conflict,Blood-Spattered Scale,Slimy Consumptive Organ,Drape of Twisted Loyalties,Engorged Worm Smasher,Elysian Sentinel's Aegis,Silvermoon City Tabard,127090994
Shadowghast Helm,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Armbands of the Construct,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Bargast's Leash,Mantle of Manifest Sins,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,,185512720
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Undercity Doublet,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Entwined Gorger Tendril,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Ascended,128569737
Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Green Workman's Shirt,Breastplate of Otherworldly Influence,Binding of Warped Desires,Sinful Gladiator's Plate Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Lightbringer,245739784
Sinful Gladiator's Plate Helm,Trailspinner Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fogweaver Gauntlets,Band of the Risen Bonelord,Death God's Signet,Spare Meat Hook,Pulsating Stoneheart,Drape of Twisted Loyalties,Sinful Gladiator's Hacker,Sinful Gladiator's Guard,,120605132
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Sleeveless T-Shirt,Rampaging Giant's Chestplate,Stonebark Girdle,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Bloodoath Signet,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Blood-Spattered Scale,Drape of Twisted Loyalties,Sinsmasher,Elysian Sentinel's Aegis,Thunder Bluff Tabard,144047958
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Red Linen Shirt,Abdominal Securing Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Hardened Castle Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Sinful Aspirant's Medallion,Sinful Aspirant's Insignia of Alacrity,Cloak of Coordination,Stoneborn Terrorblade,Barricade of the Endless Empire,Court of Harvesters Tabard,147664448
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,Elysian Sentinel's Aegis,Renowned Guild Tabard,140390071
Plague Handler's Greathelm,Noble's Birthstone Pendant,Prankster's Pauldrons,,Chestplate of Vicious Potency,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Shadowghast Armguards,Valorous Aegis Handguards,Ritual Commander's Ring,Bloodoath Signet,Anima Field Emitter,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,,166818918
Darkfrost Helmet,Charm of Eternal Winter,Prankster's Pauldrons,White Tuxedo Shirt,Breastplate of Cautious Calculation,Binding of Warped Desires,Shadowghast Greaves,Baetheas' Ironclad Warboots,Soldier's Stoneband Wristguards,Fleshfused Crushers,Ardent Sunstar Signet,Hyperlight Band,Splintered Heart of Al'ar,Stone Legion Heraldry,Drape of Twisted Loyalties,Stoneborn Terrorblade,Acidslough Bulwark,,152134467
Diadem of Imperious Desire,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Bargast's Leash,Pulsating Stoneheart,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Builwark of the Stone Legion,Renowned Guild Tabard,81201385
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Shadowghast Ring,Death God's Signet,Sinful Aspirant's Emblem,Sinful Aspirant's Medallion,Dealer Xy'exa's Cape,Engorged Worm Smasher,Encrusted Canopic Lid,Horde Tabard,167267282
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Shroud of the Penitent,Axe of the Deadgrove,Acidslough Bulwark,,147510448
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Darkmoon Deck: Indomitable,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,154475164
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Sinful Aspirant's Plate Chestplate,Girdle of the Soulflayer,Sinful Aspirant's Plate Legguards,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Anima Field Emitter,Sinful Gladiator's Insignia of Alacrity,Shroud of the Penitent,Sinsmasher,Barricade of the Endless Empire,,132054629
Sinful Aspirant's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Band of the Risen Bonelord,Blood-Spattered Scale,Gluttonous Spike,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Kirin Tor,131998620
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sleeveless T-Shirt,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Ritualist's Treasured Ring,Gluttonous Spike,Pulsating Stoneheart,Cowled Batwing Cloak,Supercollider,Sinful Gladiator's Guard,Renowned Guild Tabard,132689909
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Axe of the Deadgrove,Sinful Gladiator's Guard,,165453733
Diadem of Imperious Desire,Sinful Gladiator's Necklace,Prankster's Pauldrons,Gorgeous Blouse,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Stone Legion Heraldry,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Aspirant's Sword,Sinful Gladiator's Guard,,78267303
Plague Handler's Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Fashionable Undershirt,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Shadowghast Sabatons,Reality-Shatter Vambraces,Hardened Castle Crushers,Hyperlight Band,Band of the Risen Bonelord,Skulker's Wing,Inscrutable Quantum Device,Drape of Twisted Loyalties,Sinsmasher,Acidslough Bulwark,Tabard of the Lightbringer,116264718
Wrathbark Greathelm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Initiate's Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Ritualist's Treasured Ring,Blood-Spattered Scale,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,,89899065
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Muckwallow Stompers,Hellhound Cuffs,Guilewind Stone Talons,Bloodoath Signet,Death God's Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,Silvermoon City Tabard,166794899
