Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id,Shirt
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Death God's Signet,Twisted Witherroot Band,Splintered Heart of Al'ar,Sanguine Vintage,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,,188759228,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Acidslough Bulwark,,147572995,
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Death God's Signet,Splintered Heart of Al'ar,Stone Legion Heraldry,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,Loremaster's Colors,158514551,Fashionable Undershirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Tabard of the 7th Legion,168998405,Precious' Ribbon
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Guilewind Stone Talons,Shadowghast Ring,Entwined Gorger Tendril,Splintered Heart of Al'ar,Inscrutable Quantum Device,Cowled Batwing Cloak,Gorestained Cleaver,Acidslough Bulwark,,107767012,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,Renowned Guild Tabard,162182888,Artisan Officer's Shirt
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,144560356,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ring of Perpetual Conflict,Anima Field Emitter,Pulsating Stoneheart,Dealer Xy'exa's Cape,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,95484374,Artisan Officer's Shirt
Wrathbark Greathelm,Gaiazelle's Spiked Collar,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,Tabard of Summer Skies,197550361,
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Sinful Gladiator's Guard,Tabard of the Ascended,178142124,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Sinful Gladiator's Swordbreaker,Acidslough Bulwark,,191467363,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Queensguard's Vigil,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,Ironforge Tabard,149578648,
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Barricade of the Endless Empire,Tabard of Brute Force,151952434,Wraps of the Blood-Soaked Brawler
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Fleshfused Circle,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,Renowned Guild Tabard,170229125,White Tuxedo Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Fleshfused Crushers,Band of the Risen Bonelord,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Phial of Putrefaction,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,,145144768,
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,161166557,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,Guild Tabard,171221642,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Hyperlight Band,Gluttonous Spike,Inscrutable Quantum Device,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,,166734171,
Wrathbark Greathelm,Trailspinner Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Anima Field Emitter,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,,145355935,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,Tabard of the Lightbringer,121583901,Artisan Member's Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Elysian Sentinel's Aegis,Valarjar Tabard,140892084,Precious' Ribbon
Diadem of Imperious Desire,Noble's Birthstone Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Sinful Aspirant's Medallion,Blood-Spattered Scale,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Renowned Guild Tabard,184164572,Artisan Officer's Shirt
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sophisticated Bonecracker,Elysian Sentinel's Aegis,,192845407,
Sinful Gladiator's Plate Helm,Sinful Aspirant's Necklace,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Aspirant's Ring,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Medallion,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Guard,,194386574,
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Pulsating Stoneheart,Dealer Xy'exa's Cape,Engorged Worm Smasher,Sinful Gladiator's Guard,Stormpike Battle Tabard,196975800,Artisan Officer's Shirt
Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Sinful Aspirant's Insignia of Alacrity,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,,136676508,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Death God's Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,,247688319,Stylish Black Shirt
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,Renowned Guild Tabard,149984806,
Sinful Aspirant's Plate Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Shadowghast Ring,Sinful Aspirant's Ring,Sinful Gladiator's Sigil of Adaptation,Sinful Gladiator's Badge of Ferocity,Sinful Aspirant's Drape,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,,193091808,
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Chestplate of the March Warden,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Bloodoath Signet,Macabre Sheet Music,Bladedancer's Armor Kit,Blighted Margrave's Cloak,Sinsmasher,Barricade of the Endless Empire,Tabard of the Ascended,141445649,Precious' Ribbon
Wrathbark Greathelm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestplate,Waistguard of Expurged Anguish,Shadowghast Greaves,Sinful Gladiator's Plate Warboots,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,Lightforged Tabard,175362418,
Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Selfless Collector's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,,137146072,
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stonebark Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Ardent Sunstar Signet,Inscrutable Quantum Device,Phial of Putrefaction,Sinful Gladiator's Drape,Sophisticated Bonecracker,Sinful Gladiator's Guard,,128293774,
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Shadowghast Ring,Death God's Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Barricade of the Endless Empire,Stormwind Tabard,185202259,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Thunder Bluff Tabard,174176320,Yellow Martial Shirt
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,Illustrious Guild Tabard,192599651,
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,Tabard of the Ascended,177514687,Ironforge Doublet
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,,176073204,
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Shoulders,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Wristguards,Colossal Plate Gauntlets,Fleshfused Circle,Ritual Commander's Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Mantle of Manifest Sins,Sophisticated Bonecracker,Sinful Gladiator's Guard,Tabard of the Honorbound,90270129,Wraps of the Blood-Soaked Brawler
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,242363131,Precious' Ribbon
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Girdle of the Soulflayer,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Bloodoath Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Argent Crusader's Tabard,143937353,Precious' Ribbon
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Death God's Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sinsmasher,Chyrus's Crest of Hope,Tabard of the Explorer,89592022,Red Martial Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Bloodoath Signet,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,Stormwind Tabard,175018118,
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Hyperlight Band,Ritual Commander's Ring,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Sinsmasher,Encrusted Canopic Lid,Tabard of the Honorbound,87045038,Dark Silk Shirt
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Ritualist's Treasured Ring,Anima Field Emitter,Splintered Heart of Al'ar,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,,176474438,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,,166747322,
Wrathbark Greathelm,Azure-Venom Choker,Sinful Gladiator's Plate Shoulders,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Bone Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Shillelagh,Sinful Gladiator's Bulwark,Tabard of the Wild Hunt,197137246,
Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Dealer Xy'exa's Cape,Sinsmasher,Acidslough Bulwark,,155352004,White Linen Shirt
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Ascended,124508002,Red Lumberjack Shirt
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Guilewind Stone Talons,Ritual Bone Band,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sophisticated Bonecracker,Acidslough Bulwark,Guild Tabard,164133341,
