Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Supercollider,Barricade of the Endless Empire,192848564,Irradiated Undercoat,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,108623248,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Ascended Gladius of Glory,Acidslough Bulwark,165962447,,
Diadem of Imperious Desire,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Gorestained Cleaver,Acidslough Bulwark,242639633,,
Shadowghast Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Hyperlight Band,Death God's Signet,Anima Field Emitter,Macabre Sheet Music,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,162304832,Initiate's Shirt,
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Overwhelming Power Crystal,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,166072875,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Arachnid Cipher Ring,Hyperlight Band,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Axe of the Deadgrove,Encrusted Canopic Lid,149909347,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Sinful Gladiator's Ring,Ritual Bone Band,Inscrutable Quantum Device,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,208307745,Precious' Ribbon,
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,197088645,Antiseptic-Soaked Dressing,Tabard of the Ascended
Diadem of Imperious Desire,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Ritualist's Treasured Ring,Pulsating Stoneheart,Inscrutable Quantum Device,Sinful Gladiator's Drape,Sophisticated Bonecracker,Sinful Gladiator's Guard,155434096,Brucehide Jersey,Exodar Tabard
Sinful Gladiator's Plate Helm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Aspirant's Insignia of Alacrity,Blood-Spattered Scale,Mantle of Manifest Sins,Axe of the Deadgrove,Sinful Gladiator's Redoubt,154421564,Electrified Compression Shirt,Tabard of the Void
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Ritualist's Treasured Ring,Sanguine Vintage,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,202618704,Precious' Ribbon,Tabard of the Zandalari
Plague Handler's Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Shadowghast Armguards,Fogweaver Gauntlets,Hyperlight Band,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Meditation's Muse,Elysian Sentinel's Aegis,127614775,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Phial of Putrefaction,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Sinful Gladiator's Guard,95531352,Sleeveless T-Shirt,Blood Knight Tabard
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Aspirant's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,Chyrus's Crest of Hope,200770670,,Stormwind Tabard
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Sylvan Whiteshield,187782739,,Tabard of the Zandalari
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Sinful Gladiator's Plate Wargreaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Bloodoath Signet,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Drape of Twisted Loyalties,Stoneborn Terrorblade,Acidslough Bulwark,171021881,Precious' Ribbon,Renowned Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Shoulderblade Vambraces,Guilewind Stone Talons,Hyperlight Band,Signet of the False Accuser,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,162276416,Lucky Shirt,Baradin's Wardens Tabard
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Legplates of Flourishing Resolve,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,98747733,Precious' Ribbon,Tabard of the Lightbringer
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Hardened Castle Crushers,Arachnid Cipher Ring,Signet of the False Accuser,Inscrutable Quantum Device,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,167866814,Amber Filigreed Shirt,Undercity Tabard
Wing Commander's Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Shadowghast Sabatons,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Death God's Signet,Most Regal Signet of Sire Denathrius,Phial of Putrefaction,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Axe of the Deadgrove,Bulwark of the Unbowed,172815899,,Rustbolt Resistance Tabard
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,171778567,,Silvermoon City Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Gormshell Greaves,Valinor's Ground Pounders,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Bloodoath Signet,Splintered Heart of Al'ar,Gluttonous Spike,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,165863612,,
Shadowghast Helm,Noble's Birthstone Pendant,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Fogweaver Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Anima Field Emitter,Dreadfire Vessel,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,103893255,,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Sinful Aspirant's Plate Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Pulsating Stoneheart,Sinful Gladiator's Drape,Axe of the Deadgrove,Acidslough Bulwark,137189961,Wound Dressing,
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Bloodoath Signet,Signet of the False Accuser,Overwhelming Power Crystal,Blood-Spattered Scale,Decadent Nathrian Shawl,Supercollider,Sylvan Whiteshield,154012532,Artisan Officer's Shirt,Tabard of the Ebon Blade
Shadowghast Helm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Ring of Perpetual Conflict,Death God's Signet,Bladedancer's Armor Kit,Inscrutable Quantum Device,Drape of Twisted Loyalties,Engorged Worm Smasher,Sinful Gladiator's Guard,179209063,,
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Frostplate Greaves,Errant Crusader's Greaves,Queensguard Vambraces,Queensguard Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of the Lithe,Sinsmasher,Sinful Gladiator's Bulwark,241439269,Fashionable Undershirt,Theramore Tabard
Shadowghast Helm,Sinful Gladiator's Pendant,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Girdle,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Wristguards,Sinful Gladiator's Plate Gauntlets,Hyperlight Band,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Stone Legion Heraldry,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,95250066,Precious' Ribbon,Tabard of the Lightbringer
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Hyperlight Band,Viscera of Coalesced Hatred,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,192626407,,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Redoubt,241931171,,Renowned Guild Tabard
Wrathbark Greathelm,Noble's Birthstone Pendant,Prankster's Pauldrons,Tharatos' Charred Chestplate,Shadowghast Waistguard,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Signet of the False Accuser,Slimy Consumptive Organ,Stone Legion Heraldry,Blighted Margrave's Cloak,Sinsmasher,Encrusted Canopic Lid,243913682,Golden Filigreed Shirt,
Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Death God's Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,173841613,,Tabard of the Ascended
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Selfless Collector's Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Bloodoath Signet,Gluttonous Spike,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,133977194,Artisan Officer's Shirt,
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Shieldguard's Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Viscera of Coalesced Hatred,Gluttonous Spike,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,183298990,,
Plague Handler's Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Distorted Construct's Gauntlets,Death God's Signet,Arachnid Cipher Ring,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,165305474,Wraps of the Blood-Soaked Brawler,Tabard of the Lightbringer
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Guilewind Stone Talons,Arachnid Cipher Ring,Ritualist's Treasured Ring,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Ascended Gladius of Glory,Acidslough Bulwark,156094384,,Tabard of the Ascended
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Dealer Xy'exa's Cape,Sacred Sparrer's Edge,Barricade of the Endless Empire,174684035,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Ritual Bone Band,Sinful Gladiator's Ring,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Axe of the Deadgrove,Acidslough Bulwark,196137091,,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Aspirant's Plate Legguards,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Emblem,Splintered Heart of Al'ar,Sinful Gladiator's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,192681831,Artisan Member's Shirt,Renowned Guild Tabard
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Fleshfused Circle,Inscrutable Quantum Device,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,172102928,,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Dynamo Doomstompers,Hellhound Cuffs,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Decanter of Anima-Charged Winds,Sinful Aspirant's Medallion,Decadent Nathrian Shawl,Engorged Worm Smasher,Encrusted Canopic Lid,138370560,,
Darkfrost Helmet,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Aspirant's Plate Gauntlets,Shadowghast Ring,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Crest of the Legionnaire General,Engorged Worm Smasher,Encrusted Canopic Lid,243762459,,
Wrathbark Greathelm,Azure-Venom Choker,Prankster's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Shadowghast Armguards,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Pulsating Stoneheart,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,150297577,,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Binding of Warped Desires,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritual Bone Band,Death God's Signet,Gluttonous Spike,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,185426758,,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Pit Fighter's Wristguards,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Anima Field Emitter,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sinsmasher,Sinful Gladiator's Guard,246193645,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of the Afterlife,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Gluttonous Spike,Mantle of Manifest Sins,Legacy of Thunder,Sinful Gladiator's Guard,134335026,Tuxedo Shirt,Silver Covenant Tabard
Selfless Collector's GreatHelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Relic of the First Ones,Blood-Spattered Scale,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,247470179,,
Diadem of Imperious Desire,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Arachnid Cipher Ring,Ritual Bone Band,Blood-Spattered Scale,Slimy Consumptive Organ,Mantle of Manifest Sins,Sophisticated Bonecracker,Acidslough Bulwark,173241199,,
Shadowghast Helm,Noble's Birthstone Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Sinful Gladiator's Ring,Fleshfused Circle,Bladedancer's Armor Kit,Sinful Aspirant's Medallion,Cloak of Enveloping Manifestations,Sinful Gladiator's Xiphos,Chyrus's Crest of Hope,196133658,,Stormwind Tabard
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Shadowghast Greaves,Muckwallow Stompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Hyperlight Band,Most Regal Signet of Sire Denathrius,Decanter of Anima-Charged Winds,Gluttonous Spike,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Acidslough Bulwark,83889130,Precious' Ribbon,
